year,driver,constructor
1950,Nino Farina,Alfa Romeo
1951,Juan Fangio,Ferrari
1952,Alberto Ascari,Ferrari
1953,Alberto Ascari,Ferrari
1954,Juan Fangio,Ferrari
1955,Juan Fangio,Mercedes
1956,Juan Fangio,Ferrari
1957,Juan Fangio,Maserati
1958,Mike Hawthorn,Ferrari
1959,Jack Brabham,Cooper-Climax
1960,Jack Brabham,Cooper-Climax
1961,Phil Hill,Ferrari
1962,Graham Hill,BRM
1963,Jim Clark,Lotus-Climax
1964,Graham Hill,BRM
1965,Jim Clark,BRM
1966,Jack Brabham,Brabham-Repco
1967,Denny Hulme,Brabham-Repco
1968,Graham Hill,Lotus-Ford
1969,Jackie Stewart,Matra-Ford
1970,Jochen Rindt,Ferrari
1971,Jackie Stewart,Tyrrell
1972,Emerson Fittipaldi,McLaren
1973,Jackie Stewart,Tyrrell
1974,Emerson Fittipaldi,Ferrari
1975,Niki Lauda,Ferrari
1976,James Hunt,Ferrari
1977,Niki Lauda,Ferrari
1978,Mario Andretti,Team Lotus
1979,Jody Scheckter,Ferrari
1980,Alan Jones,Williams
1981,Nelson Piquet,Williams
1982,Keke Rosberg,Ferrari
1983,Nelson Piquet,Ferrari
1984,Niki Lauda,McLaren
1985,Alain Prost,McLaren
1986,Alain Prost,Williams
1987,Nelson Piquet,Williams
1988,Alain Prost,McLaren
1989,Alain Prost,McLaren
1990,Ayrton Senna,McLaren
1991,Ayrton Senna,McLaren
1992,Nigel Mansell,Williams
1993,Alain Prost,Williams
1994,Michael Schumacher,Williams
1995,Michael Schumacher,Benetton
1996,Damon Hill,Williams
1997,Jacques Villeneuve,Williams
1998,Mika Häkkinen,McLaren
1999,Mika Häkkinen,Ferrari
2000,Michael Schumacher,Ferrari
2001,Michael Schumacher,Ferrari
2002,Michael Schumacher,Ferrari
2003,Michael Schumacher,Ferrari
2004,Michael Schumacher,Ferrari
2005,Fernando Alonso,Renault
2006,Fernando Alonso,Renault
2007,Kimi Räikkönen,McLaren
2008,Lewis Hamilton,Ferrari
2009,Jenson Button,Brawn
2010,Sebastian Vettel,Red Bull
2011,Sebastian Vettel,Red Bull
2012,Sebastian Vettel,Red Bull
2013,Sebastian Vettel,Red Bull
2014,Lewis Hamilton,Mercedes
2015,Lewis Hamilton,Mercedes
2016,Nico Rosberg,Mercedes
2017,Lewis Hamilton,Mercedes
2018,Lewis Hamilton,Mercedes
2019,Lewis Hamilton,Mercedes
2020,Lewis Hamilton,Mercedes
2021,Max Verstappen,Mercedes
2022,Max Verstappen,Red Bull
2023,Max Verstappen,Red Bull
2024,Max Verstappen,Red Bull
